Plaque d’immatriculation;Nom du véhicule;Code VIN;Distance totale conduite;Distance moyenne conduite par jour;Distance moyenne des trajets;Distance maximum d’un trajet;Distance max conduite en un jour;Nombre de trajets;Nombre de trajets avec réservation;Pourcentage de trajets par réservation;Temps cumulé en trajet;Taux d’utilisation
340AQW51;10 - C3 Bleue 340AQW51;VF7FRKFVC28594905;804,6;36,6;89,4;620,6;620,6;9,0;0,0;0,0;36,5;0,1
AB306YD;11- C3 Bleue AB306YD;VF7FRKFVC9A098886;1311,4;59,6;655,7;1310,6;55,3;2,0;1,0;0,5;210,5;0,8
AB294YD;12 - C3 Bleue AB294YD   ;VF7FRKFVC9A098885;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
446AZM51;13 - C3 Bleue 446AZM51  sorti du parc;;3249,8;147,7;3249,8;3249,8;31,0;1,0;0,0;0,0;253,7;1,0
345AQW51;14 - C3 Bleue 345AQW51;;497,0;22,6;71,0;191,2;101,4;7,0;0,0;0,0;35,7;0,1
AB247YD;15 - C3 Bleue AB247YD;VF7FRKFVC9A097896;932,4;42,4;58,3;181,2;188,4;16,0;3,0;0,2;49,6;0,2
564ARE51;16 - C3 Bleue 564ARE51;VF7FRKFVC28688689;1743,7;79,3;91,8;655,3;232,5;19,0;4,0;0,2;114,5;0,4
AB256YD;17 - C3 Bleue AB256YD;VF7FRKFVC9A096913;1521,4;69,2;72,4;207,2;240,6;21,0;1,0;0,0;79,9;0,3
347AQW51;18 - C3 Bleue 347AQW51;;737,9;33,5;46,1;117,7;150,9;16,0;1,0;0,1;36,2;0,1
AB276YD;19 - C3 Bleue AB276YD;VF7FRKFVC9A096911;2278,0;103,5;162,7;1046,9;374,2;14,0;0,0;0,0;76,6;0,3
244ANZ51;1 - C3 Bleue 244ANZ51;VF7FRKFVC27331613;141,6;6,4;47,2;77,5;49,6;3,0;0,0;0,0;25,5;0,1
AB107XM;20 - C3 Bleue AB107XM  sorti du parc;VF7FRKFVC9A09544;2574,6;117,0;2574,6;2574,6;27,4;1,0;0,0;0,0;145,4;0,6
341AQW51;21 - C3 Bleue 341AQW51;;583,2;26,5;32,4;192,4;192,4;18,0;0,0;0,0;75,8;0,3
246ANZ51;22 - C3 Bleue 246ANZ51;VF7FRKFVC27331622;249,6;11,3;27,7;102,1;102,1;9,0;0,0;0,0;25,1;0,1
230ANZ51;23 - C3 Bleue 230ANZ51;;1219,2;55,4;67,7;608,5;223,5;18,0;3,0;0,2;66,7;0,3
441AZM51;24 - C3 Bleue 441AZM51 ;;1334,3;60,6;70,2;238,7;225,1;19,0;0,0;0,0;59,9;0,2
237ANZ51;3 - C3 Bleue 237ANZ51;;1025,0;46,6;78,8;526,5;211,9;13,0;2,0;0,2;50,6;0,2
AB266YD;4 - C3 Bleue AB266YD;VF7FRKFVC9A098888;469,7;21,4;26,1;111,1;111,1;18,0;0,0;0,0;43,0;0,2
AB301YD;5 - C3 Bleue AB301YD;VF7FRKFVC9A098887;1886,1;85,7;110,9;536,5;235,3;17,0;1,0;0,1;107,7;0,4
242ANZ51;6 - C3 Bleue 242ANZ51;;1247,4;56,7;138,6;407,9;299,9;9,0;0,0;0,0;80,0;0,3
236ANZ51;8 - C3 Bleue 236ANZ51 ;VF7FRKFVC27331614;1206,8;54,9;54,9;390,8;390,8;22,0;1,0;0,0;60,3;0,2
AD259AS;9 - C3 Bleue AD259AS  sorti du parc;VF7FRKFVC9A093679;1509,1;68,6;1509,1;1509,1;16,1;1,0;0,0;0,0;145,4;0,6
CY-402-QB;Kangoo ZE CY-402-QB;VF1FW0ZBC49537247;178,5;8,1;35,7;71,3;71,3;5,0;0,0;0,0;10,2;0,0
CY-766-QA;Kangoo ZE CY-766-QA;VF1FWOZBC49537215;353,7;16,1;25,3;61,4;63,1;14,0;8,0;0,6;62,7;0,2
CZ-294-CP;Kangoo ZE CZ-294-CP;VF1FW0ZBC49537261;99,6;4,5;16,6;35,7;35,7;6,0;0,0;0,0;11,2;0,0
CZ-305-YD;Kangoo ZE CZ-305-YD;VF1FW0ZBC49954444;176,0;8,0;16,0;49,7;81,7;11,0;0,0;0,0;10,0;0,0
DB650KC;Megane Bleue DB650KC;VF1BZ1A0749212137;907,6;41,3;453,8;463,7;205,9;2,0;2,0;1,0;79,9;0,3